d1,d2,count
DCC0329,DCC1020,1
DCC0260,DCC1819,1
DCC0260,DCC0105,1
DCC0329,DCC1110,1
DCC0329,DCC0288,1
DCC0329,DCC1368,1
DCC0329,DCC0787,1
DCC0329,DCC1396,1
DCC0329,DCC0437,1
DCC0260,DCC1411,1
DCC0329,DCC0348,1
DCC0329,DCC0868,1
DCC0329,DCC0629,1
DCC0329,DCC0620,1
DCC0329,DCC1534,1
DCC0260,DCC1446,1
DCC0329,DCC1400,1
DCC0329,DCC0478,1
DCC0329,DCC1471,1
DCC0329,DCC0426,1
DCC0329,DCC0218,1
DCC0260,DCC0328,1
DCC0329,DCC0013,1
DCC0260,DCC0139,1
DCC0329,DCC0016,1
DCC0329,DCC0223,1
DCC0329,DCC0369,1
DCC0329,DCC0009,1
DCC0260,DCC0738,1
DCC0260,DCC1273,1
DCC0260,DCC0255,1
DCC0329,DCC1639,1
DCC1245,DCC1702,1
DCC1530,DCC0320,1
DCC1280,DCC0361,1
DCC0123,DCC0013,1
DCC0123,DCC0120,1
DCC0123,DCC0358,1
DCC0049,DCC0287,1
DCC0049,DCC0075,1
DCC0123,DCC0011,1
DCC0123,DCC0369,1
DCC0049,DCC0320,1
DCC0123,DCC1678,1
DCC0049,DCC1682,1
DCC0123,DCC0007,1
DCC0123,DCC0420,1
DCC0123,DCC0787,1
DCC0123,DCC0218,1
DCC0049,DCC0087,1
DCC0049,DCC0248,1
DCC0123,DCC1417,1
DCC0252,DCC1539,1
DCC0260,DCC0302,1
DCC0252,DCC1040,1
DCC0252,DCC1508,1
DCC0252,DCC1267,1
DCC0123,DCC0427,1
DCC0252,DCC0264,1
DCC0179,DCC1644,1
DCC0325,DCC1116,1
DCC0179,DCC0019,1
DCC0156,DCC0118,1
DCC0179,DCC0132,1
DCC0179,DCC0037,1
DCC0049,DCC0236,1
DCC0049,DCC0063,1
DCC1280,DCC1644,1
DCC0049,DCC0289,1
DCC1280,DCC1726,1
DCC1280,DCC0150,1
DCC1280,DCC0351,1
DCC1280,DCC0161,1
DCC0285,DCC0413,1
DCC0290,DCC0299,1
DCC0260,DCC1850,1
DCC0260,DCC0283,1
DCC0282,DCC0248,1
DCC0282,DCC0287,1
DCC0282,DCC0347,1
DCC0282,DCC0098,1
DCC0282,DCC0063,1
DCC0123,DCC0639,1
DCC0252,DCC0168,1
DCC0123,DCC1693,1
DCC0123,DCC1149,1
DCC0123,DCC0488,1
DCC0123,DCC0770,1
DCC0123,DCC1129,1
DCC0049,DCC1810,1
DCC0049,DCC1812,1
DCC0252,DCC1116,1
DCC0252,DCC1823,1
DCC0252,DCC1854,1
DCC0252,DCC1855,1
DCC0057,DCC1749,1
DCC0252,DCC0480,1
DCC0252,DCC1474,1
DCC0329,DCC0026,1
DCC0329,DCC0420,1
DCC0323,DCC1245,1
DCC0260,DCC0339,1
DCC0156,DCC0427,1
DCC0323,DCC0158,1
DCC0323,DCC0050,1
DCC0323,DCC0457,1
DCC0323,DCC0336,1
DCC0214,DCC1166,1
DCC0464,DCC0455,1
DCC0166,DCC0209,1
DCC0464,DCC0452,1
DCC0464,DCC0454,1
DCC0260,DCC0299,1
DCC0323,DCC0436,1
DCC0260,DCC1493,1
DCC0260,DCC1116,1
DCC0260,DCC0322,1
DCC0329,DCC1522,1
DCC0260,DCC0185,1
DCC0260,DCC0195,1
DCC0260,DCC0229,1
DCC0260,DCC0312,1
DCC0260,DCC1613,1
DCC0260,DCC1412,1
DCC0252,DCC1704,1
DCC0252,DCC0095,1
DCC0260,DCC0241,1
DCC0260,DCC0258,1
DCC0260,DCC0303,1
DCC0260,DCC0421,1
DCC0260,DCC1479,1
DCC0260,DCC1376,1
DCC0285,DCC1240,1
DCC0285,DCC0547,1
DCC0156,DCC0348,1
DCC0214,DCC0061,1
DCC0260,DCC0250,1
DCC0323,DCC0414,1
DCC0323,DCC0360,1
DCC0323,DCC0420,1
DCC0323,DCC0108,1
DCC0323,DCC1205,1
DCC0323,DCC1164,1
DCC0323,DCC1417,1
DCC0323,DCC0215,1
DCC0323,DCC1181,1
DCC0323,DCC1537,1
DCC0323,DCC1539,1
DCC0323,DCC0777,1
DCC0323,DCC1639,1
DCC0323,DCC0717,1
DCC0203,DCC1551,1
DCC0203,DCC0132,1
DCC0184,DCC1817,1
DCC0184,DCC0159,1
DCC0179,DCC1208,1
DCC0184,DCC0279,1
DCC0260,DCC0268,1
DCC0260,DCC0370,1
DCC0260,DCC0230,1
DCC0260,DCC0106,1
DCC0260,DCC0293,1
DCC0214,DCC0187,1
DCC0214,DCC0039,1
DCC0214,DCC0341,1
DCC0260,DCC1614,1
DCC0319,DCC0133,1
DCC0319,DCC0309,1
DCC0100,DCC1345,1
DCC0329,DCC0003,1
DCC0329,DCC1129,1
DCC0329,DCC0363,1
DCC0329,DCC1468,1
DCC0260,DCC1131,1
DCC0329,DCC1161,1
DCC0329,DCC0355,1
DCC0329,DCC0622,1
DCC0329,DCC1017,1
DCC0260,DCC0058,1
DCC0329,DCC0006,1
DCC0329,DCC1693,1
DCC0329,DCC1321,1
DCC0329,DCC0033,1
DCC0329,DCC0904,1
DCC0329,DCC1399,1
DCC0329,DCC1601,1
DCC0329,DCC0956,1
DCC0260,DCC0238,1
DCC0329,DCC0717,1
DCC0329,DCC0301,1
DCC0329,DCC0147,1
DCC0329,DCC0414,1
DCC0329,DCC1106,1
DCC0329,DCC1164,1
DCC0329,DCC0215,1
DCC0329,DCC1280,1
DCC0329,DCC0007,1
DCC0329,DCC0387,1
DCC0329,DCC1461,1
DCC0331,DCC0092,1
DCC0204,DCC0206,1
DCC0240,DCC0285,1
DCC0331,DCC1502,1
DCC0123,DCC1245,1
DCC0331,DCC0198,1
DCC1505,DCC1436,1
DCC1505,DCC0741,1
DCC0123,DCC1601,1
DCC0123,DCC1399,1
DCC0331,DCC0197,1
DCC0331,DCC1285,1
DCC0214,DCC1459,1
DCC0319,DCC1239,1
DCC0018,DCC0347,1
DCC0018,DCC0298,1
DCC0018,DCC0310,1
DCC0018,DCC1486,1
DCC0018,DCC0078,1
DCC0018,DCC0254,1
DCC0018,DCC0075,1
DCC0018,DCC0346,1
DCC0018,DCC0237,1
DCC0018,DCC0063,1
DCC0018,DCC0039,1
DCC0018,DCC1210,1
DCC0331,DCC0328,1
DCC0048,DCC1224,1
DCC0240,DCC0174,1
DCC0240,DCC0265,1
DCC0240,DCC0175,1
DCC0048,DCC0192,1
DCC0903,DCC0228,1
